section-slug,slug,artistname,year,date,disambiguate,date-added,series,event,venue,city,state,country,_venue-slug,show-slug,radio,cancelled,performers,setlist,setlist-source,support,poster-url,ticket-url,venue-url,audio,notes,setlist-index,_i-was-there,_calendar-subject,,_recording
dean-wareham,dean-wareham,Dean Wareham,2014,2014-04-24,,1994-01-01,,,Amoeba Records,Los Angeles,CA,USA,amoeba-records-los-angeles-ca-usa,dean-wareham-2014-04-24-amoeba-records-los-angeles-ca-usa,,,Dean Wareham - guitar/vocals|Britta Phillips - bass/keyboards/vocals,The Dancer Disappears|Holding Pattern|Lost In Space|Emancipated Hearts|Tugboat,,,,,,,In-store performance,|thedancerdisappears|holdingpattern|lostinspace|emancipatedhearts|tugboat|,,"2014: Dean Wareham - Amoeba Records, Los Angeles, CA, USA",,2014-04-24
dean-wareham,dean-wareham,Dean Wareham,2014,2014-05-07,,1994-01-01,,,El Sol,Madrid,,Spain,el-sol-madrid-spain,dean-wareham-2014-05-07-el-sol-madrid-spain,,,Dean Wareham - guitar/vocals|Britta Phillips - bass/keyboards/vocals,,,,,,,,,,,"2014: Dean Wareham - El Sol, Madrid, Spain",,
dean-wareham,dean-wareham,Dean Wareham,2014,2014-05-08,,1994-01-01,,,Wah Wah,Valencia,,Spain,wah-wah-valencia-spain,dean-wareham-2014-05-08-wah-wah-valencia-spain,,,Dean Wareham - guitar/vocals|Britta Phillips - bass/keyboards/vocals,,,,,,,,,,,"2014: Dean Wareham - Wah Wah, Valencia, Spain",,
dean-wareham,dean-wareham,Dean Wareham,2014,2014-05-09,,1994-01-01,,,Apolo 2,Barcelona,,Spain,apolo-2-barcelona-spain,dean-wareham-2014-05-09-apolo-2-barcelona-spain,,,Dean Wareham - guitar/vocals|Britta Phillips - bass/keyboards/vocals,,,,,,,,,,,"2014: Dean Wareham - Apolo 2, Barcelona, Spain",,
dean-wareham,dean-wareham,Dean Wareham,2014,2014-05-13,,1994-01-01,,,El Lokal,Zurich,,Switzerland,el-lokal-zurich-switzerland,dean-wareham-2014-05-13-el-lokal-zurich-switzerland,,,"Dean Wareham - guitar, vocals|Britta Phiilips - bass, keyboards, vocals|Raymond Richards - guitar, keyboards|Roger Brogan - drums",,,,,,http://www.ellokal.ch/?lang=en&details=528,,,,,"2014: Dean Wareham - El Lokal, Zurich, Switzerland",,
dean-wareham,dean-wareham,Dean Wareham,2014,2014-05-14,,1994-01-01,,,The Palace,St. Gallen,,Switzerland,the-palace-st-gallen-switzerland,dean-wareham-2014-05-14-the-palace-st-gallen-switzerland,,,Dean Wareham - guitar/vocals|Britta Phillips - bass/keyboards/vocals,,,,,,http://www.palace.sg/index/index/xEvent/110,,,,,"2014: Dean Wareham - The Palace, St. Gallen, Switzerland",,
dean-wareham,dean-wareham,Dean Wareham,2014,2014-05-15,,1994-01-01,,,Circolo dei Malfattori,Poggio Berni,,Italy,circolo-dei-malfattori-poggio-berni-italy,dean-wareham-2014-05-15-circolo-dei-malfattori-poggio-berni-italy,,,"Dean Wareham - guitar, vocals|Britta Phiilips - bass, keyboards, vocals|Raymond Richards - guitar, keyboards|Roger Brogan - drums",,,,https://media.fullofwishes.co.uk/05-dean_wareham/show_assets/2014-05-15/locandina-dean-wareham.jpg,,,,,,,"2014: Dean Wareham - Circolo dei Malfattori, Poggio Berni, Italy",,
dean-wareham,dean-wareham,Dean Wareham,2014,2014-05-16,,1994-01-01,,,Mattatoio Culture Club,Carpi Modena,,Italy,mattatoio-culture-club-carpi-modena-italy,dean-wareham-2014-05-16-mattatoio-culture-club-carpi-modena-italy,,,"Dean Wareham - guitar, vocals|Britta Phiilips - bass, keyboards, vocals|Raymond Richards - guitar, keyboards|Roger Brogan - drums",,,,,,,,,,,"2014: Dean Wareham - Mattatoio Culture Club, Carpi Modena, Italy",,
dean-wareham,dean-wareham,Dean Wareham,2014,2014-05-17,,1994-01-01,,,Arci Ohibò,Milan,,Italy,arci-ohibo-milan-italy,dean-wareham-2014-05-17-arci-ohibo-milan-italy,,,"Dean Wareham - guitar, vocals|Britta Phiilips - bass, keyboards, vocals|Raymond Richards - guitar, keyboards|Roger Brogan - drums",,,,https://media.fullofwishes.co.uk/05-dean_wareham/show_assets/2014-05-17/2014-05-17-dean-wareham-arci-ohibo.jpg,,,,,,,"2014: Dean Wareham - Arci Ohibò, Milan, Italy",,
dean-wareham,dean-wareham,Dean Wareham,2014,2014-05-19,,1994-01-01,,,Espace B,Paris,,France,espace-b-paris-france,dean-wareham-2014-05-19-espace-b-paris-france,,,Dean Wareham - guitar/vocals|Britta Phillips - bass/keyboards/vocals,Flowers|Emancipated Hearts|Heartless People|Tiger Lily|The Dancer Disappears|Holding Pattern|Air|Love Is Not A Roof Against The Rain|When Will You Come Home|Moon Palace|Babes In The Wood|Blue Thunder|Indian Summer|Don't Let Our Youth Go To Waste|Happy and Free|Fourth Of July,,,,,http://www.espaceb.net/Lundi-19-Mai-2014,,,|flowers|emancipatedhearts|heartlesspeople|tigerlily|thedancerdisappears|holdingpattern|air|loveisnotaroofagainsttherain|whenwillyoucomehome|moonpalace|babesinthewood|bluethunder|indiansummer|dontletouryouthgotowaste|happyandfree|fourthofjuly|,,"2014: Dean Wareham - Espace B, Paris, France",,2014-05-19
