Setlists,all songs,Unique songs,Count,Song,Total
Friendly Advice|Sideshow By The Seashore|This Time Around|Moon Palace|Tiger Lily|Chinatown|California (All The Way)|Time to Quit|,,SWEETNESS,8,INGRID SUPERSTAR,2
Egg Nog|Slide|Friendly Advice|Sideshow By The Seashore|This Time Around|Moon Palace|Tiger Lily|Chinatown|California (All The Way)|Time to Quit|Lost In Space|Freakin' and Peakin'|Rain|,,TEENAGE LIGHTNING,19,IT'S BRINGING YOU DOWN,2
|,,TEMPERATURE'S RISING,7,NEEDLES IN THE CAMEL'S EYE,2
|,,THANK YOU FOR SENDING ME AN ANGEL,20,ROMANTICA,2
|,,THAT'S WHAT YOU ALWAYS SAY,34,SLIDE RULE,2
|,,THE CORRIDORS OF POWER,9,SNOWSTORM,2
Double Feature|Sideshow By The Seashore|Walk On The Wild Side|23 Minutes in Brussels|,,THE OWL AND THE PUSSYCAT,15,STAR SPANGLED MAN,2
|,,THE RUSTLER,3,BOB LE FLAMBEUR,1
|,,THE SLOW SONG,30,BUFFALO BOOTS,1
Freakin' and Peakin'|Slide|Rhythm King|California (All The Way)|This Time Around|Friendly Advice|Double Feature|Outdoor Miner|Sideshow By The Seashore|Moon Palace|We're Both Confused|23 Minutes in Brussels|Time to Quit|Tiger Lily|,,THIS TIME AROUND,84,CAPTAIN PENTAGON,1
|,,TIGER LILY,229,CEREMONY,1
|,,TIME,6,DREAM BABY DREAM,1
|,,TIME TO QUIT,130,DRUNKEN WHISTLER,1
|,,TRACY I LOVE YOU,195,FLY INTO THE MYSTERY,1
|,,TUGBOAT,54,JUST MY IMAGINATION (RUNNING AWAY WITH ME),1
|,,US OUT OF MY PANTS,3,LA POUPÉE QUI FAIT NON,1
|,,WALK ON THE WILD SIDE,9,MOTEL BAMBI,1
|,,WE'RE BOTH CONFUSED,30,PICTURES,1
23 Minutes in Brussels|Slide|Chinatown|California (All The Way)|Moon Palace|Friendly Advice|We're Both Confused|Kalamazoo|Sideshow By The Seashore|I Can't Wait|Time to Quit|Indian Summer|Strange|,,WEIRD AND WOOZY,75,RAIN,1
Indian Summer|Lost In Space|23 Minutes in Brussels|,,WHAT GOES ON,5,WHEN WILL YOU COME HOME,1
|,,WHEN WILL YOU COME HOME,1,WHISPERS,1
|,,WHISPERS,1,,
Friendly Advice|Sideshow By The Seashore|Chinatown|California (All The Way)|Moon Palace|Freakin' and Peakin'|Strange|Hedgehog|Kalamazoo|Time to Quit|Lost In Space|We're Both Confused|23 Minutes in Brussels|Slide|Tiger Lily|Indian Summer|,,,0,,
|,,,0,,
|,,,0,,
Slide|Chinatown|Tracy I Love You|California (All The Way)|Tiger Lily|Sideshow By The Seashore|Moon Palace|Time to Quit|Kalamazoo|23 Minutes in Brussels|Lost In Space|We're Both Confused|Strange|Friendly Advice|Hedgehog|Indian Summer|This Time Around|That's What You Always Say|,,,0,,
Double Feature|This Time Around|Moon Palace|Friendly Advice|Chinatown|Kalamazoo|23 Minutes in Brussels|Time to Quit|Tiger Lily|We're Both Confused|Lost In Space|California (All The Way)|Freakin' and Peakin'|Bewitched|Hedgehog|Season of the Witch|,,,0,,
|,,,0,,
|,,,0,,
^[Instrumental?]|Friendly Advice|Crazy People|Tracy I Love You|23 Minutes in Brussels|Moon Palace|We're Both Confused|Double Feature|This Time Around|Strange|Hedgehog|California (All The Way)|Time to Quit|Indian Summer|Chinatown|Tiger Lily|Slash Your Tires||,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
Friendly Advice|Chinatown|Tracy I Love You|Anesthesia|Kalamazoo|Freakin' and Peakin'|Moon Palace|Into The Fold|We're Both Confused|Lost In Space|That's What You Always Say|Tiger Lily|23 Minutes in Brussels|California (All The Way)|Walk On The Wild Side|,,,0,,
Moon Palace|Chinatown|Sideshow By The Seashore|Friendly Advice|Slide|Time to Quit|California (All The Way)|23 Minutes in Brussels|Tiger Lily|,,,0,,
Sideshow By The Seashore|Chinatown|Moon Palace|23 Minutes in Brussels|California (All The Way)|Tiger Lily|Friendly Advice|,,,0,,
This Time Around|California (All The Way)|Chinatown|Sideshow By The Seashore|Moon Palace|Friendly Advice|23 Minutes in Brussels|,,,0,,
California (All The Way)|Chinatown|This Time Around|23 Minutes in Brussels|Tiger Lily|Sideshow By The Seashore|Friendly Advice|,,,0,,
|,,,0,,
|,,,0,,
Slide|California (All The Way)|Chinatown|23 Minutes in Brussels|Sideshow By The Seashore|That's What You Always Say|Ride Into the Sun|,,,0,,
Season of the Witch|Slide|Chinatown|Smile|Strange|23 Minutes in Brussels|Sideshow By The Seashore|We're Both Confused|Tiger Lily|That's What You Always Say|Time to Quit|Indian Summer|,,,0,,
|,,,0,,
Tracy I Love You|Kalamazoo|23 Minutes in Brussels|Season of the Witch|,,,0,,
Season of the Witch|Tracy I Love You|Rhythm King|Friendly Advice|Chinatown|Sideshow By The Seashore|23 Minutes in Brussels|Lost In Space|We're Both Confused|Moon Palace|Hedgehog|I Want Everything|California (All The Way)|Time to Quit|Freakin' and Peakin'|Tiger Lily|Indian Summer|Slash Your Tires|,,,0,,
Slide|Tracy I Love You|We're Both Confused|Chinatown|Slash Your Tires|Moon Palace|Kalamazoo|Sideshow By The Seashore|23 Minutes in Brussels|Lost In Space|California (All The Way)|Bewitched|Fourth of July|Tiger Lily|Time to Quit|Season of The Witch|,,,0,,
|,,,0,,
Hey Sister|Friendly Advice|Crazy People|Slash Your Tires|Kalamazoo|Time to Quit|23 Minutes in Brussels|Sideshow By The Seashore|I Want Everything|Hedgehog|Tiger Lily|Freakin' and Peakin'|California (All The Way)|Dream Baby Dream|Indian Summer|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
Slide|Chinatown|Tracy I Love You|California (All The Way)|Tiger Lily|Moon Palace|Time to Quit|Kalamazoo|23 Minutes in Brussels|Lost In Space|We're Both Confused|Strange|Friendly Advice|Hedgehog|Indian Summer|This Time Around|That's What You Always Say|,,,0,,
IHOP|This Time Around|Bobby Peru|Sideshow By The Seashore|Anesthesia|Beggar's Bliss|Time to Quit|23 Minutes in Brussels|Lost In Space|Tracy I Love You|California (All The Way)|Fourth of July|Whispers|Friendly Advice|Chinatown|Indian Summer|Tiger Lily|,,,0,,
|,,,0,,
Fuzzy Wuzzy|California (All The Way)|Tracy I Love You|Anesthesia|Friendly Advice|Beggar's Bliss|IHOP|Pup Tent|Time to Quit|Fourth of July|Sideshow By The Seashore|23 Minutes in Brussels|Indian Summer|Chinatown|,,,0,,
|,,,0,,
|,,,0,,
Fuzzy Wuzzy|Sideshow By The Seashore|IHOP|Chinatown|Tracy I Love You|Time to Quit|Beggar's Bliss|Lost In Space|Hedgehog|Bobby Peru|Friendly Advice|Tiger Lily|California (All The Way)|23 Minutes in Brussels|Pup Tent|Indian Summer|Moon Palace|,,,0,,
Pup Tent|Sideshow by the Seashore|Bobby Peru|Moon Palace|Beggar's Bliss|Time to Quit|Chinatown|23 Minutes in Brussels|Lost in Space|Friendly Advice|Flowers|IHOP|California (All The Way)|,,,0,,
|,,,0,,
Beggar's Bliss|Anesthesia|Pup Tent|Beautiful View|Bobby Peru|Tracy I Love You|Indian Summer|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
Fuzzy Wuzzy|Sideshow By The Seashore|This Time Around|Beautiful View|Friendly Advice|Slash Your Tires|Moon Palace|23 Minutes in Brussels|Bobby Peru|Pup Tent|Time to Quit|Chinatown|California (All The Way)|IHOP|Indian Summer|Lost In Space|,,,0,,
|,,,0,,
Sideshow By The Seashore|Beautiful View|Friendly Advice|Tracy I Love You|Moon Palace|Pup Tent|Bobby Peru|23 Minutes in Brussels|Chinatown|Slash Your Tires|Beggar's Bliss|California (All The Way)|IHOP|Season of the Witch|Time to Quit|,,,0,,
|,,,0,,
Pup Tent|Beautiful View|California (All The Way)|Beggar's Bliss|,,,0,,
Bewitched|Sideshow By The Seashore|Beautiful View|Friendly Advice|Moon Palace|Pup Tent|23 Minutes in Brussels|Bobby Peru|Beggar's Bliss|Slide|Slash Your Tires|Lost In Space|California (All The Way)|IHOP|Everybody's Talkin'|Chinatown|Indian Summer|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
Pup Tent|Anesthesia|Friendly Advice|Moon Palace|Double Feature|Bobby Peru|Sideshow By The Seashore|Tracy I Love You|Time to Quit|23 Minutes in Brussels|Beautiful View|California (All The Way)|IHOP|Tiger Lily|Indian Summer|,,,0,,
|,,,0,,
Fuzzy Wuzzy|Sideshow By The Seashore|Beautiful View|This Time Around|Bobby Peru|Moon Palace|Tracy I Love You|Tiger Lily|Chinatown|Season of the Witch|Pup Tent|23 Minutes in Brussels|Lost In Space|Slash Your Tires|California (All The Way)|IHOP|Beggar's Bliss|Friendly Advice|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
Fuzzy Wuzzy|Sideshow By The Seashore|Friendly Advice|Bobby Peru|Time to Quit|Beggar's Bliss|23 Minutes in Brussels|Pup Tent|This Time Around|Beautiful View|Slash Your Tires|Moon Palace|California (All The Way)|IHOP|Anesthesia|Lost In Space|Season of the Witch|,,,0,,
|,,,0,,
Pup Tent|This Time Around|Beautiful View|Moon Palace|Tracy I Love You|Sideshow By The Seashore|Beggar's Bliss|23 Minutes in Brussels|Lost In Space|Bobby Peru|Slash Your Tires|IHOP|Tiger Lily|California (All The Way)|Chinatown|Ride Into the Sun|Time to Quit|Everybody's Talkin'|,,,0,,
|,,,0,,
Beggar's Bliss|Moon Palace|Bobby Peru|Pup Tent|Everybody's Talkin'|Beautiful View|,,,0,,
|,,,0,,
Pup Tent|Sideshow By The Seashore|Beautiful View|Slide|Beggar's Bliss|23 Minutes in Brussels|Bobby Peru|Tiger Lily|IHOP|California (All The Way)|,,,0,,
|,,,0,,
|,,,0,,
Fuzzy Wuzzy|Beggar's Bliss|California (All The Way)|Beautiful View|Sideshow By The Seashore|Pup Tent|Anesthesia|Tracy I Love You|City Kitty|Tiger Lily|IHOP|Bobby Peru|23 Minutes in Brussels|Slash Your Tires|Everybody's Talkin'|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
Sideshow By The Seashore|Pup Tent|Anesthesia|Bobby Peru|Moon Palace|Tracy I Love You|Chinatown|23 Minutes in Brussels|Beautiful View|California (All The Way)|Outdoor Miner|Beggar's Bliss|IHOP|Indian Summer|Everybody's Talkin'|,,,0,,
Sideshow By The Seashore|Pup Tent|California (All The Way)|Tracy I Love You|Moon Palace|Beautiful View|IHOP|Lost In Space|Beggar's Bliss|Time to Quit|Tiger Lily|Bobby Peru|23 Minutes in Brussels|Goodbye|Fuzzy Wuzzy|Everybody's Talkin'|Chinatown|Indian Summer|,,,0,,
|,,,0,,
Pup Tent|Sideshow By The Seashore|City Kitty|Moon Palace|Bonnie and Clyde|Tiger Lily|Bobby Peru|Tracy I Love You|23 Minutes in Brussels|Lost In Space|Time to Quit|Beggar's Bliss|California (All The Way)|IHOP|Chinatown|Season of the Witch|Everybody's Talkin'|,,,0,,
Season of the Witch|Sideshow By The Seashore|Friendly Advice|Moon Palace|Time to Quit|Beggar's Bliss|This Time Around|Bobby Peru|23 Minutes in Brussels|Pup Tent|Slash Your Tires|California (All The Way)|Tiger Lily|Indian Summer|,,,0,,
|,,,0,,
Pup Tent|California (All The Way)|Anesthesia|Double Feature|Chinatown|Tracy I Love You|Blue Thunder|IHOP|Bewitched|Sideshow By The Seashore|Time to Quit|Bobby Peru|23 Minutes in Brussels|Lost In Space|Indian Summer|Tiger Lily|Everybody's Talkin'|,,,0,,
|,,,0,,
|,,,0,,
Pup Tent|Sideshow By The Seashore|Beautiful View|This Time Around|Tiger Lily|Bobby Peru|Moon Palace|IHOP|Slide|Bewitched|Time to Quit|Chinatown|23 Minutes in Brussels|Beggar's Bliss|California (All The Way)|Indian Summer|,,,0,,
Pup Tent|Sideshow By The Seashore|Beautiful View|This Time Around|Bobby Peru|Moon Palace|Tracy I Love You|23 Minutes in Brussels|Beggar's Bliss|Slash Your Tires|Chinatown|Tiger Lily|IHOP|Lost In Space|California (All The Way)|,,,0,,
|,,,0,,
|,,,0,,
California (All The Way)|Sideshow By The Seashore|Friendly Advice|Moon Palace|Bobby Peru|Slide|Chinatown|23 Minutes in Brussels|Tracy I Love You|Pup Tent|Time to Quit|Tiger Lily|IHOP|Lost In Space|Slash Your Tires|Everybody's Talkin'|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
|,,,0,,
Fuzzy Wuzzy|Sideshow By The Seashore|This Time Around|Moon Palace|Tracy I Love You|Tiger Lily|Time to Quit|23 Minutes in Brussels|Pup Tent|Slash Your Tires|Bobby Peru|Fly Into The Mystery|California (All The Way)|IHOP|Chinatown|Slide|Indian Summer|,,,0,,
Pup Tent|Sideshow By The Seashore|Friendly Advice|Bobby Peru|23 Minutes in Brussels|Blue Thunder|Tracy I Love You|Chinatown|IHOP|Lost In Space|California (All The Way)|,,,0,,
Friendly Advice|Sideshow By The Seashore|This Time Around|Pup Tent|(unknown)|23 Minutes in Brussels|(unknown)|California (All The Way)|Beggar's Bliss|Bobby Peru|Tiger Lily|(unknown)|IHOP|Indian Summer|Chinatown|,,,0,,
California (All The Way)|Bobby Peru|23 Minutes in Brussels|Chinatown|Sideshow By The Seashore|Pup Tent|IHOP|Everybody's Talkin'|,,,0,,
Egg Nog|IHOP|Bobby Peru|Pup Tent|Sideshow By The Seashore|Hello Little One|Tracy I Love You|Hedgehog|Moon Palace|We're Both Confused|Tiger Lily|Seven Steps to Satan|Time to Quit|23 Minutes in Brussels|Chinatown|California (All The Way)|,,,0,,
