section-slug,slug,artistname,year,date,disambiguate,date-added,series,event,venue,city,state,country,venue-slug,radio,cancelled,performers,setlist,setlist-source,support,poster-url,ticket-url,venue-url,audio,notes,setlist-index,i-was-there,calendar-subject
dean-and-britta,dean-and-britta,Dean & Britta,2007,2007-03-30,,Sat Jan 01 1994 00:00:00 GMT+0000 (Greenwich Mean Time),,,Hiro Ballroom,New York,NY,USA,hiro-ballroom-new-york-ny-usa,,,Dean Wareham - guitar/vocals|Britta Phillips - bass/keyboards/vocals,Singer Sing|Knives From Bavaria|Hear The Wind Blow|Words You Used To Say|Moon Palace|The Sun Is Still Sunny|You Turned My Head Around|White Horses|Chinatown|Strange|Tiger Lily|Since I Lay My Burden Down|Night Nurse|Bonnie and Clyde|Ginger Snaps|Bewitched,,,,,,,,|singersing|knivesfrombavaria|hearthewindblow|wordsyouusedtosay|moonpalace|thesunisstillsunny|youturnedmyheadaround|whitehorses|chinatown|strange|tigerlily|sinceilaymyburdendown|nightnurse|bonnieandclyde|gingersnaps|bewitched|,,"2007: Dean & Britta - Hiro Ballroom, New York, NY, USA"
dean-and-britta,dean-and-britta,Dean & Britta,2007,2007-04-06,,Sat Jan 01 1994 00:00:00 GMT+0000 (Greenwich Mean Time),,,Getty,Los Angeles,CA,USA,getty-los-angeles-ca-usa,,,Dean Wareham - guitar/vocals|Britta Phillips - bass/keyboards/vocals,,,,,,,,Free,,,"2007: Dean & Britta - Getty, Los Angeles, CA, USA"
dean-and-britta,dean-and-britta,Dean & Britta,2007,2007-04-06,,Sat Jan 01 1994 00:00:00 GMT+0000 (Greenwich Mean Time),,,KCRW,Santa Monica,CA,USA,kcrw-santa-monica-ca-usa,Radio session,,Dean Wareham - guitar/vocals|Britta Phillips - bass/keyboards/vocals,The Sun Is Still Sunny|Singer Sing|Words You Used To Say|You Turned My Head Around|Night Nurse|Ginger Snaps|Our Love Will Still Be There,,,,,,,,|thesunisstillsunny|singersing|wordsyouusedtosay|youturnedmyheadaround|nightnurse|gingersnaps|ourlovewillstillbethere|,,"2007: Dean & Britta - KCRW, Santa Monica, CA, USA"
dean-and-britta,dean-and-britta,Dean & Britta,2007,2007-04-07,-1900,Sat Jan 01 1994 00:00:00 GMT+0000 (Greenwich Mean Time),,,Silent Movie Theatre,Los Angeles,CA,USA,silent-movie-theatre-los-angeles-ca-usa,,,Dean Wareham - guitar/vocals|Britta Phillips - bass/keyboards/vocals,Singer Sing|Night Nurse|Hear The Wind Blow|Words You Used To Say|Moon Palace|The Sun Is Still Sunny|You Turned My Head Around|Tiger Lily|Tugboat|Knives From Bavaria|Bewitched|Ginger Snaps|Bonnie and Clyde,,,,,,,7pm show,|singersing|nightnurse|hearthewindblow|wordsyouusedtosay|moonpalace|thesunisstillsunny|youturnedmyheadaround|tigerlily|tugboat|knivesfrombavaria|bewitched|gingersnaps|bonnieandclyde|,,"2007: Dean & Britta - Silent Movie Theatre, Los Angeles, CA, USA"
dean-and-britta,dean-and-britta,Dean & Britta,2007,2007-04-07,-2200,Sat Jan 01 1994 00:00:00 GMT+0000 (Greenwich Mean Time),,,Silent Movie Theatre,Los Angeles,CA,USA,silent-movie-theatre-los-angeles-ca-usa,,,Dean Wareham - guitar/vocals|Britta Phillips - bass/keyboards/vocals,,,,,,,,10PM show,,,"2007: Dean & Britta - Silent Movie Theatre, Los Angeles, CA, USA"
dean-and-britta,dean-and-britta,Dean & Britta,2007,2007-04-08,,Sat Jan 01 1994 00:00:00 GMT+0000 (Greenwich Mean Time),,,Independent,San Francisco,CA,USA,independent-san-francisco-ca-usa,,,Dean Wareham - guitar/vocals|Britta Phillips - bass/keyboards/vocals,,,,,,,,‘with Jennifer OConnor',,,"2007: Dean & Britta - Independent, San Francisco, CA, USA"
dean-and-britta,dean-and-britta,Dean & Britta,2007,2007-04-10,,Sat Jan 01 1994 00:00:00 GMT+0000 (Greenwich Mean Time),,,Aladdin Theatre,Portland,OR,USA,aladdin-theatre-portland-or-usa,,,Dean Wareham - guitar/vocals|Britta Phillips - bass/keyboards/vocals,Singer Sing|Our Love Will Still Be There|Words You Used To Say|The Sun Is Still Sunny|Moon Palace|White Horses|Random Rules|Knives From Bavaria|You Turned My Head Around|Night Nurse|Tiger Lily|Tugboat|Bonnie and Clyde|Ginger Snaps|Bewitched,,,,,,,,|singersing|ourlovewillstillbethere|wordsyouusedtosay|thesunisstillsunny|moonpalace|whitehorses|randomrules|knivesfrombavaria|youturnedmyheadaround|nightnurse|tigerlily|tugboat|bonnieandclyde|gingersnaps|bewitched|,,"2007: Dean & Britta - Aladdin Theatre, Portland, OR, USA"
dean-and-britta,dean-and-britta,Dean & Britta,2007,2007-04-11,,Sat Jan 01 1994 00:00:00 GMT+0000 (Greenwich Mean Time),,,Triple Door,Seattle,WA,USA,triple-door-seattle-wa-usa,,,Dean Wareham - guitar/vocals|Britta Phillips - bass/keyboards/vocals,,,,,,,,Free show for KEXP members,,,"2007: Dean & Britta - Triple Door, Seattle, WA, USA"
dean-and-britta,dean-and-britta,Dean & Britta,2007,2007-04-28,,Sat Jan 01 1994 00:00:00 GMT+0000 (Greenwich Mean Time),,,Maxwells,Hoboken,NJ,USA,maxwells-hoboken-nj-usa,,,Dean Wareham - guitar/vocals|Britta Phillips - bass/keyboards/vocals,,,,,,,,,,,"2007: Dean & Britta - Maxwells, Hoboken, NJ, USA"
dean-and-britta,dean-and-britta,Dean & Britta,2007,2007-06-02,,Sat Jan 01 1994 00:00:00 GMT+0000 (Greenwich Mean Time),,,Luna Lounge,Brooklyn,NY,USA,luna-lounge-brooklyn-ny-usa,,,Dean Wareham - guitar/vocals|Britta Phillips - bass/keyboards/vocals,,,,,,,,,,,"2007: Dean & Britta - Luna Lounge, Brooklyn, NY, USA"
