section-slug,slug,artistname,year,date,disambiguate,date-added,series,event,venue,city,state,country,venue-slug,radio,cancelled,performers,setlist,setlist-source,support,poster-url,ticket-url,venue-url,audio,notes,setlist-index,i-was-there,calendar-subject
galaxie-500,galaxie-500,Galaxie 500,1989,Sun Sep 24 1989 00:00:00 GMT+0100 (British Summer Time),,,,,BBC Radio One,London,,UK,bbc-radio-one-london-uk,Radio session,,Dean Wareham - guitar/vocals|Naomi Yang - bass/vocals|Damon Krukowski - drums,Flowers|Blue Thunder|Decomposing Trees|Don't Let Our Youth Go to Waste,,,,,,,John Peel Session&lt;ul&gt;&lt;li&gt;Recorded: 24 September 1989&lt;/li&gt;&lt;li&gt;Transmitted: 17 October 1989&lt;/li&gt;&lt;/ul&gt;,|flowers|bluethunder|decomposingtrees|dontletouryouthgotowaste|,,"1989: Galaxie 500 - BBC Radio One, London, UK"
galaxie-500,galaxie-500,Galaxie 500,1989,Tue Sep 26 1989 00:00:00 GMT+0100 (British Summer Time),,,,,ICA,London,,UK,ica-london-uk,,,Dean Wareham - guitar/vocals|Naomi Yang - bass/vocals|Damon Krukowski - drums,Flowers|Blue Thunder|Decomposing Trees|Don't Let Our Youth Go to Waste|Temperature's Rising|Snowstorm|Plastic Bird|When Will You Come Home|Ceremony|Tugboat|Rain,,,https://media.fullofwishes.co.uk/01-galaxie_500/show_assets/1989-09-26/19890926_flyer_lori.jpg,,,,Supported by The Family Cat,|flowers|bluethunder|decomposingtrees|dontletouryouthgotowaste|temperaturesrising|snowstorm|plasticbird|whenwillyoucomehome|ceremony|tugboat|rain|,,"1989: Galaxie 500 - ICA, London, UK"
galaxie-500,galaxie-500,Galaxie 500,1989,Sat Oct 14 1989 00:00:00 GMT+0100 (British Summer Time),,,,,Green Street Station,Jamaica Plain,MA,USA,green-street-station-jamaica-plain-ma-usa,,,Dean Wareham - guitar/vocals|Naomi Yang - bass/vocals|Damon Krukowski - drums,,,,,,,,,,,"1989: Galaxie 500 - Green Street Station, Jamaica Plain, MA, USA"
galaxie-500,galaxie-500,Galaxie 500,1989,Mon Oct 16 1989 00:00:00 GMT+0100 (British Summer Time),,,,,Bunratty's,Boston,MA,USA,bunrattys-boston-ma-usa,,,Dean Wareham - guitar/vocals|Naomi Yang - bass/vocals|Damon Krukowski - drums,,,,,,,,,,,"1989: Galaxie 500 - Bunratty's, Boston, MA, USA"
galaxie-500,galaxie-500,Galaxie 500,1989,Sat Oct 21 1989 00:00:00 GMT+0100 (British Summer Time),,,,,The Rocket,Providence,RI,USA,the-rocket-providence-ri-usa,,,Dean Wareham - guitar/vocals|Naomi Yang - bass/vocals|Damon Krukowski - drums,,,,,,,,,,,"1989: Galaxie 500 - The Rocket, Providence, RI, USA"
galaxie-500,galaxie-500,Galaxie 500,1989,Tue Oct 31 1989 00:00:00 GMT+0000 (Greenwich Mean Time),,2025-08-03,,,Ecstacy,Berlin,,Germany,ecstacy-berlin-germany,,,Dean Wareham - guitar/vocals|Naomi Yang - bass/vocals|Damon Krukowski - drums,Blue Thunder|Flowers|Snowstorm|Temperature's Rising|Don't Let Our Youth Go To Waste|Decomposing Trees|Plastic Bird|When Will You Come Home|Ceremony,recording,,,,,,Berlin Independence Days seminar,|bluethunder|flowers|snowstorm|temperaturesrising|dontletouryouthgotowaste|decomposingtrees|plasticbird|whenwillyoucomehome|ceremony|,,"1989: Galaxie 500 - Ecstacy, Berlin, Germany"
galaxie-500,galaxie-500,Galaxie 500,1989,Mon Nov 06 1989 00:00:00 GMT+0000 (Greenwich Mean Time),,,,,Basement,Brighton,,UK,basement-brighton-uk,,,Dean Wareham - guitar/vocals|Naomi Yang - bass/vocals|Damon Krukowski - drums,Temperature's Rising|Snowstorm|Decomposing Trees|Plastic Bird|Blue Thunder|Flowers|Don't Let Our Youth Go to Waste|When Will You Come Home,,,https://media.fullofwishes.co.uk/01-galaxie_500/show_assets/1989-11-06/1989-11-06-galaxie-500-brighton-flyer.jpg,,,,Incomplete setlist,|temperaturesrising|snowstorm|decomposingtrees|plasticbird|bluethunder|flowers|dontletouryouthgotowaste|whenwillyoucomehome|,,"1989: Galaxie 500 - Basement, Brighton, UK"
galaxie-500,galaxie-500,Galaxie 500,1989,Wed Nov 08 1989 00:00:00 GMT+0000 (Greenwich Mean Time),,,,,Powerhaus,London,,UK,powerhaus-london-uk,,,Dean Wareham - guitar/vocals|Naomi Yang - bass/vocals|Damon Krukowski - drums,Blue Thunder|Flowers|Snowstorm|Temperature's Rising|Don't Let Our Youth Go to Waste|Decomposing Trees|Plastic Bird|When Will You Come Home|Pictures|Ceremony,setlist.fm,,,,,,,|bluethunder|flowers|snowstorm|temperaturesrising|dontletouryouthgotowaste|decomposingtrees|plasticbird|whenwillyoucomehome|pictures|ceremony|,,"1989: Galaxie 500 - Powerhaus, London, UK"
galaxie-500,galaxie-500,Galaxie 500,1989,Thu Nov 09 1989 00:00:00 GMT+0000 (Greenwich Mean Time),,,,,Boardwalk,Manchester,,UK,boardwalk-manchester-uk,,,Dean Wareham - guitar/vocals|Naomi Yang - bass/vocals|Damon Krukowski - drums,,,,,,,,,,,"1989: Galaxie 500 - Boardwalk, Manchester, UK"
galaxie-500,galaxie-500,Galaxie 500,1989,Fri Nov 10 1989 00:00:00 GMT+0000 (Greenwich Mean Time),,,,,Polytechnic,Wolverhampton,,UK,polytechnic-wolverhampton-uk,,,Dean Wareham - guitar/vocals|Naomi Yang - bass/vocals|Damon Krukowski - drums,,,,,,,,,,,"1989: Galaxie 500 - Polytechnic, Wolverhampton, UK"
