slug,artistname,year,date,date-added,series,venue,radio,cancelled,performers,setlist,setlist-source,support,poster-url,ticket-url,venue-url,notes
dean-and-britta,Dean & Britta,2020,Sat May 30 2020 00:00:00 GMT+0100 (British Summer Time),Mon May 25 2020 00:00:00 GMT+0100 (British Summer Time),live stream,"Dean & Britta's living room, Echo Park, Los Angeles, CA, USA",,,Britta Phillips - bass/keyboards/vocals|Dean Wareham - guitar/vocals,I'm So Bored With The U.S.A.|The Carnival is Over|23 Minutes in Brussels|Mountains of The Moon|Another Day|^Poem: The Jumblies (Edward Lear)|Love is Colder Than Death|Decomposing Trees|Emancipated Hearts|Drive|Fourth of July|^Poem: On Thinking About Hell (Bertolt Brecht)|Indian Summer|Massachusetts,,,https://www.fullofwishes.co.uk/images/2020-05-30-dean-and-britta-veeps.jpg,https://deanandbritta.veeps.com/stream/events/8b4241490d72,,Live stream from Dean &amp; Britta’s home in Los Angeles
dean-and-britta,Dean & Britta,2020,Sun Jun 21 2020 00:00:00 GMT+0100 (British Summer Time),Thu Jun 18 2020 00:00:00 GMT+0100 (British Summer Time),live stream,"Dean & Britta's living room, Echo Park, Los Angeles, CA, USA",,,Britta Phillips - bass/keyboards/vocals|Dean Wareham - guitar/vocals,,,,https://www.fullofwishes.co.uk/images/2020-06-20-dean-and-britta-betsey-trotwood-fundraiser.jpg,https://www.crowdfunder.co.uk/we-love-the-betsey,,Online festival in support of London venue The Betsey Trotwood.Pre-recorded.Donate to The Betsey Trotwood crowdfunderThe festival will probably be on their Facebook and/or YouTube.
dean-and-britta,Dean & Britta,2020,Sat Jun 27 2020 00:00:00 GMT+0100 (British Summer Time),Tue Jun 16 2020 00:00:00 GMT+0100 (British Summer Time),live stream,"Dean & Britta's living room, Echo Park, Los Angeles, CA, USA",,,Britta Phillips - bass/keyboards/vocals|Dean Wareham - guitar/vocals,Broken Chair [Sean Eden on Instagram Live]|Neon Lights|Malibu Love Nest|Most of The Time|Chinatown|Broken Chair|^Monica (poem by Hera Lindsay Bird)|Bonnie and Clyde|Superfreaky Memories|Teenage Lightning|Cindy Tastes of Barbecue|^Letters to Wendy’s (poem by Joe Wenderoth)|23 Minutes in Brussels|Car Wash Hair,,,https://www.fullofwishes.co.uk/images/2020-05-30-dean-and-britta-veeps.jpg,https://deanandbritta.veeps.com/stream/events/d502eab985fc,,Live stream from Dean &amp; Britta’s home in Los Angeles.Support from Sean on Instagram.
dean-and-britta,Dean & Britta,2020,Sat Jul 25 2020 00:00:00 GMT+0100 (British Summer Time),Fri Jul 10 2020 00:00:00 GMT+0100 (British Summer Time),live stream,"Dean & Britta's living room, Echo Park, Los Angeles, CA, USA",,,Britta Phillips - bass/keyboards/vocals|Dean Wareham - guitar/vocals|Roger Brogan - drums,"^My Rifle, My Pony, and Me (false start)|My Rifle, My Pony, and Me|Leave The Planet|Hear The Wind Blow|When Will You Come Home|^poem - The Canoeing Trip by Russell Edson|King of Spain|Parking Lot|Snowstorm|You Turned My Head Around|Blue Thunder|^poem - The Lichtenberg Figures (extract) by Ben Lerner|Sorry|Victory Garden|Don't Let Our Youth Go To Waste|Sadness|Ceremony",,,https://media.fullofwishes.co.uk/07-dean_and_britta/show_assets/2020-07-25/2007-07-25-dean-and-britta-living-room-marquee.jpg,https://deanandbritta.veeps.com/stream/events/fe165d6a1fcf,,Live stream from Dean &amp; Britta’s home in Los Angeles.
dean-and-britta,Dean & Britta,2020,Sat Sep 26 2020 00:00:00 GMT+0100 (British Summer Time),Mon Sep 07 2020 00:00:00 GMT+0100 (British Summer Time),live stream,"Live stream from Dean & Britta's living room, Echo Park, Los Angeles, CA, USA",,,Britta Phillips - bass/keyboards/vocals|Dean Wareham - guitar/vocals|Roger Brogan - drums,Air|Night Nurse|Pictures|^poem - Yogi by Rodger Kamenetz|One Fine Summer Morning|We're Not Supposed to be Lovers|He Dines Out on Death|Duchess|The Slow Song|(Walkin' Thru The) Sleepy City|The Bend in The River|^poem - Hearts Together by John Betjeman|It's Getting Late|I'll Keep It With Mine|Tiger Lily|Homeward Bound,,,https://www.fullofwishes.co.uk/images/2020-05-30-dean-and-britta-veeps.jpg,https://deanandbritta.veeps.com/stream/events/25c7c930bc6d,,Early show - 12:00 PDT the time where you areLive stream from Dean &amp; Britta’s home in Los Angeles.
dean-and-britta,Dean & Britta,2020,Sat Sep 26 2020 00:00:00 GMT+0100 (British Summer Time),Mon Sep 07 2020 00:00:00 GMT+0100 (British Summer Time),live stream,"Live stream from Dean & Britta's living room, Echo Park, Los Angeles, CA, USA",,,Britta Phillips - bass/keyboards/vocals|Dean Wareham - guitar/vocals|Roger Brogan - drums,Air|Night Nurse|Into The Fold|Flowers|One Fine Summer Morning|Anesthesia|He Dines Out On Death|Duchess|^Poem - Hot Dog Ass by Jennifer Knox|Random Rules|The Bend in The River|It's Getting Late|Homeward Bound|Bobby Peru|Tugboat,,,https://www.fullofwishes.co.uk/images/2020-05-30-dean-and-britta-veeps.jpg,https://deanandbritta.veeps.com/stream/events/9dfdf065601d,,Late show - 18:00 PDT the time where you areLive stream from Dean &amp; Britta’s home in Los Angeles.
dean-wareham,Dean Wareham,2021,Fri Jan 22 2021 00:00:00 GMT+0000 (Greenwich Mean Time),Sat Mar 21 2020 00:00:00 GMT+0000 (Greenwich Mean Time),Dean Wareham plays Galaxie 500,"The Classic Grand, Glasgow, UK",,true,Dean Wareham - guitar/vocals|Britta Phillips - bass,,,,,https://www.seetickets.com/event/dean-wareham-plays-galaxie-500/the-classic-grand-glasgow/1473010,http://www.classicgrand.com/,Dean Wareham plays Galaxie 500’s On Fire + more.
dean-wareham,Dean Wareham,2021,Sat Jan 23 2021 00:00:00 GMT+0000 (Greenwich Mean Time),Sat Mar 21 2020 00:00:00 GMT+0000 (Greenwich Mean Time),Dean Wareham plays Galaxie 500,"The Liquid Room, Edinburgh, UK",,true,Dean Wareham - guitar/vocals|Britta Phillips - bass,,,,,https://www.seetickets.com/event/dean-wareham-plays-galaxie-500/the-liquid-room-edinburgh/1473011,https://www.liquidroom.com/,Dean Wareham plays Galaxie 500’s On Fire + more.
dean-wareham,Dean Wareham,2021,Sun Jan 24 2021 00:00:00 GMT+0000 (Greenwich Mean Time),Tue Mar 24 2020 00:00:00 GMT+0000 (Greenwich Mean Time),Dean Wareham plays Galaxie 500,"The Cluny, Newscastle, UK",,true,Dean Wareham - guitar/vocals|Britta Phillips - bass,,,,,https://www.seetickets.com/event/dean-wareham-plays-galaxie-500/the-cluny-newcastle-upon-tyne/1473009,https://thecluny.com/,Dean Wareham plays Galaxie 500’s On Fire + more.
dean-wareham,Dean Wareham,2021,Mon Jan 25 2021 00:00:00 GMT+0000 (Greenwich Mean Time),Tue Mar 24 2020 00:00:00 GMT+0000 (Greenwich Mean Time),Dean Wareham plays Galaxie 500,"Manchester Academy 3, Manchester, UK",,true,Dean Wareham - guitar/vocals|Britta Phillips - bass,,,,,https://www.eventim.co.uk/event/dean-wareham-plays-galaxie-500-on-fire-manchester-academy-12614642/,https://www.manchesteracademy.net/,Dean Wareham plays Galaxie 500’s On Fire + more.
